date,feedback_content,sentiment
04-01-2017,"
Aaron was extremely help and very friendly. I kept his about everything and was always up front with everything. As a veteran myself, he made to go the extra mile for me and always was available to talk and answer questions. This was my first time buying a home and he made as painless as possible for me and my wife. I nothing but great things to about him and cannot thank him enough for helping us through this process... Read More
        ",positive
23-06-2017,"
Their loan officer and his team were amazing. They helped us every step of the way. 
        ",positive
26-10-2017,"
Alex was extremely helpful and always available if we had any questions or concerns. He kept in constant contact with us and told us exactly what was going to be happening and when. When any issues came up he addressed them quickly so we wouldn't have to wait longer for the closing. He was always trying to go the extra step to make sure we were taken care of. 
        ",positive
30-01-2016,"
Great service and easy
        ",positive
30-09-2016,"
Such a pleasure working with Alex. Couldn't ask for a better lender. 
        ",positive
17-12-2017,"
Good guy to work with.  Very responsive.  No surprises.
        ",positive
17-02-2017,"
Extremely smooth process with no surprises.  Better than expected interest rate.
        ",positive
05-12-2016,"
Fred was great! He worked around my schedule, was always very responsive and always knew exactly where I was in the process and helped me work on what to do next.
        ",positive
13-11-2016,"
I worked with a person name Andrew Leehy.  He is a very hard working, honest person with the customers interest not the commission at heart.
        ",positive
26-01-2017,"
Fred was awesome to work with! He is very knowledgeable in his field and is quick to respond to all calls and emails. He made sure the loan stayed on track and we closed on time, 29 days from the day we put a contract on the house. We highly recommend Fred!
        ",positive
25-07-2016,"
A fine bank with traditional values.  Just great.  The people are real and the bank ""walks the talk"".  A real pleasure to do business with them.
        ",positive
08-09-2016,"
Joey was knowledgeable, very accessible and maintained a positive attitude throughout the complex refinancing process.  He was a true partner, not just a functionary doing paperwork.

I trusted his judgment and he never failed me.  He also has a great sense of humor.
        ",positive
07-07-2017,"
I was hesitant to use a non-local mortgage company. My loan officer, Jeremy was more involved with the process than any local loan company Ive used previously. His customer service and knowledge has exceeded my expectations. 
I don't usually recommend people, but I would consider Jeremy as a trusted friend in the mortgage business.

        ",positive
13-11-2016,"
I was hesitant to use a non-local mortgage company. My loan officer, Jeremy was more involved with the process than any local loan company Ive used previously. His customer service and knowledge has exceeded my expectations. 
I don't usually recommend people, but I would consider Jeremy as a trusted friend in the mortgage business.

        ",positive
06-02-2016,"
Steve got it done when others couldn't. 30 day closing and he even got things done that his supervisor couldn't get done. Steve was recommended to me by a friend and I am glad I went with him. He was great to work with. 
        ",positive
15-09-2016,"
Very professional and customer oriented.
        ",positive
17-12-2017,"
Steve was very responsive and patient with my many questions. We haven't bought a house in many years.  And this was a big move for us.  I can't praise him highly enough.  Highly recommend.
        ",positive
28-08-2017,"
The closing process for a VA loan went smoothly.  But the loan servicing by this so-called bank is a complete disaster.

I set up our loan for automatic payments using their clunky website.  Unlike other banks with which I do business, the NASB website is not intuitive and does not provide confirmation for your entries.

For the first 10 months, payments were automatically debited from my external account as scheduled.  However, when the escrow amount changed, NASB debited the old amount from my account and sent a deficiency letter for the balance -- unlike every other bank I have used in which the amount of the debit was automatically debited.

NASB sent me a ""credit counseling letter"" telling me that they did not apply any of the loan payment and would charge me a late payment over double the deficiency of $40 and change .... and suggested credit counseling services.  When I called their servicing department, the representative told me the letter was sent in error and that everything had been adjusted so my account was showing that it was current.

Two weeks later, I received a total of two voice mail messages and an e-mail in a span of 20 minutes from NASB's default department.  

The woman with whom I first spoke was rude, said she showed no record of my earlier call, it was my problem, and then hung up on me.  The second agent, a man in their default department, said that he did not show that I had made any automatic payments and that NASB's system was not set up to adjust anything.

After having over 25 years of mortgage payments with various banks, I have never experienced such incompetence and rude service.  I specifically instructed the last agent to request that they sell servicing of our loan to another bank that is capable of actually performing customer service for a veteran... Read More
        ",negative
02-05-2017,"
Miserable experience. They screwed up everything imaginable and never accepted responsibility for any of their errors. I wouldnt recommend them for the purchase of a doghouse much less purchasing a new home. 
        ",negative
16-08-2016,"
Our loan officer was happy to communicate before we committed. Once we committed he only communicated with us AFTER I questioned items and problems and AFTER I questioned why we weren't settling before our rate lock expired. We had no idea where we were in the process unless I contacted Steve. Poor, poor communication. Mr. Kang also was ""sure"" our house would appraise for $30k more than our house did, talking us into a loan that we didn't end up appraising for and then causing us to have to refinance at only .4% lower than our current mortgage. Our appraiser was disorganized and called twice for pictures he forgot. He used poor comps. We were contacted several times to look at documents that were expired before we could even sign on (within minutes of the email notifications). Only good was the actual settlement with a very sweet and competent notary (and thank goodness we were done). Poor process, poor communication - we will NEVER recommend NASB and I have already told two people refinancing to steer clear.... Read More
        ",negative
13-08-2017,"
Our loan officer was happy to communicate before we committed. Once we committed he only communicated with us AFTER I questioned items and problems and AFTER I questioned why we weren't settling before our rate lock expired. We had no idea where we were in the process unless I contacted Steve. Poor, poor communication. Our loan officer also was ""sure"" our house would appraise for $30k more than it did, talking us into a loan we weren't interested in and then causing us to have to refinance at only .4% lower than our current mortgage. Our appraiser was disorganized and called twice for pictures he forgot. He used poor comps. We were contacted several times to look at documents that were expired before we could even sign on (within minutes of the email notifications). Only good was the actual settlement with a very sweet and competent notary (and thank goodness we were done). Poor process, poor communication - we will NEVER recommend NASB and I have already told two people refinancing to steer clear... Read More
        ",negative
24-02-2017,"
Started refinance with Nick things were going OK then there was a problem with a credit card fro 5 years earlier, which must of made the loan not possible. This I would of understood, But I never heard from them again? called Nick several times no response? I even called his supervisor no response? E-Mailed them no response? IS THIS THE COMPANY YOU WANT TO DUE BUSNESS WITH????????????... Read More
        ",negative
26-06-2016,"
can someone explain why the APR is more than a point higher than the interest rate, if there are $0 fees? ?
        ",negative
26-10-2017,"
This loan started off quite well. Our rep, Donna, was friendly and quick to respond to questions. She clearly explained how things would unfold, and it all sounded great. What I didn't count on was that the Bank never kept a single promise she made. I had the same problem with this Bank 15 or more times. I would ask for assurance about something, Donna would respond that things would be completed as I wished, and her promise was violated by the Bank EVERY SINGLE TIME. For example, in our first or second conversation, I explained to Donna that my wife would be traveling out of the country 11 weeks after beginning the loan process. Would it be a problem to get the loan closed before that? Not at all, she said. We should close several weeks before my wife's departure. 11 weeks later, the Bank was not ready to close. How did that happen? Donna would ask us to email documentation, which we would email back within 2-12 hours, depending on the occasion. Donna would then assure us that the documentation that we sent her was great, and the Bank had everything it needed. Then, weeks later, they would ask for additional documentation. This happened 5 or more times. Later in the process, they asked for repeats of earlier documentation because the earlier documentation that had I provided was now ""too old."" I cannot tell if this patterns recured because the Bank doesn't care about customers, or because it is just incompetent. Every time we complained about additional requests or some promise that wasn't kept, Donna told us that our complaints were justified and she was sorry. But she was unable or unwilling to rectify the broken promises. We finally closed 13 weeks or so after our initial application. I can only imagine how long the process would have taken if we had not responded to every request from the Bank on the day they made it, and if we hadn't pushed hard to get this deal done. This Bank treats customers with complete disrespect. As someone who has owned several properties in my life and has received more than 10 home mortgages from different banks, I can honestly say that this is the worst mortgage experience I've ever had. You owe it to yourself to work with another Bank that is more professional and more respectful of customers. If I could, I'd rate this Bank lower than one star... Read More
        ",negative
22-10-2016,"
Built new home and wanted to get a small mortgage compared to the value of the property. The process took much longer than I was told it would causing mishandling and reverification of information provided to NASB. There was a difference of opinion on what was necessary to close the loan that made the process diffiicult on my family. I would not recommend North American Savings Bank as amortgage lender... Read More
        ",negative
31-05-2017,"
This Lender contacted my previous phone number which I did not list when registering with this site. Very unprofessional, and very disturbing.
        ",negative
