Order_Date,Time,Aging,Customer_Id,Gender,Device_Type,Customer_Login_type,Product_Category,Product,Sales,Quantity,Discount,Profit,Shipping_Cost,Order_Priority,Payment_method
2018-11-10,00:10:24,5.0,28440,Male,Web,Member,Fashion,Sports Wear,85.0,1.0,0.5,2.5,0.2,Medium,credit_card
2018-10-02,16:06:24,4.0,27645,Male,Web,Member,Fashion,Casula Shoes,122.0,4.0,0.4,32.2,3.2,Critical,money_order
2018-12-14,23:35:43,4.0,53293,Female,Web,Member,Fashion,Running Shoes,224.0,1.0,0.5,110.4,11.0,Medium,credit_card
2018-11-14,13:49:12,1.0,43579,Female,Web,Member,Fashion,Formal Shoes,213.0,4.0,0.3,107.4,10.7,Critical,credit_card
2018-12-15,15:22:28,10.0,52350,Female,Web,First SignUp,Fashion,Sneakers,62.0,5.0,0.3,12.4,1.2,Medium,money_order
2018-04-25,17:44:20,1.0,13661,Male,Web,Member,Fashion,Titak watch,228.0,4.0,0.4,111.5,11.2,Critical,credit_card
2018-01-24,12:52:16,3.0,41979,Female,Web,Guest,Fashion,Fossil Watch,159.0,4.0,0.4,53.6,5.4,Critical,credit_card
2018-11-17,23:20:40,9.0,21774,Male,Web,Member,Fashion,T - Shirts,248.0,4.0,0.5,158.1,15.8,Medium,credit_card
2018-03-19,16:03:33,7.0,26430,Female,Web,Member,Fashion,Shirts,196.0,5.0,0.4,76.8,7.7,Critical,credit_card
2018-06-22,23:34:32,10.0,13725,Female,Web,Member,Fashion,Jeans,218.0,1.0,0.4,124.9,12.5,Medium,credit_card
2018-03-23,16:40:17,9.0,51512,Male,Web,Member,Fashion,Suits,109.0,1.0,0.5,27.9,2.8,Medium,credit_card
2018-06-12,20:06:50,3.0,29835,Male,Web,Member,Fashion,Sports Wear,85.0,5.0,0.3,17.0,1.7,High,credit_card
2018-09-05,20:10:40,4.0,23605,Male,Web,Guest,Fashion,Casula Shoes,122.0,4.0,0.4,32.2,3.2,High,money_order
2018-10-14,09:52:51,6.0,42701,Male,Web,Member,Fashion,Running Shoes,224.0,1.0,0.5,137.3,13.7,High,money_order
2018-09-07,11:49:45,5.0,20695,Male,Web,Member,Fashion,Formal Shoes,213.0,5.0,0.5,79.8,8.0,Critical,credit_card
2018-10-25,13:48:10,6.0,12434,Male,Web,Member,Fashion,Sneakers,62.0,4.0,0.5,15.5,1.6,High,credit_card
2018-08-10,20:25:47,5.0,12998,Male,Web,Member,Fashion,Titak watch,228.0,2.0,0.3,134.3,13.4,Critical,credit_card
2018-09-15,15:37:38,8.0,11940,Female,Web,First SignUp,Fashion,Fossil Watch,159.0,1.0,0.4,59.9,6.0,Critical,money_order
2018-04-25,18:49:51,3.0,34837,Male,Web,Member,Fashion,T - Shirts,248.0,4.0,0.4,128.3,12.8,Medium,money_order
2018-03-27,22:11:06,1.0,46771,Male,Web,Member,Fashion,Shirts,196.0,4.0,0.5,108.2,10.8,Critical,credit_card
2018-11-22,15:14:14,5.0,19217,Male,Web,Member,Fashion,Jeans,218.0,5.0,0.4,116.2,11.6,High,e_wallet
2018-01-26,13:44:28,7.0,53644,Female,Web,Member,Fashion,Suits,109.0,1.0,0.4,22.5,2.2,Critical,money_order
2018-09-28,16:24:11,1.0,32932,Male,Web,Member,Fashion,Sports Wear,85.0,1.0,0.5,28.3,2.8,Medium,e_wallet
2018-11-28,11:14:12,1.0,50843,Male,Web,Member,Fashion,Casula Shoes,122.0,1.0,0.4,39.6,4.0,Medium,debit_card
2018-11-17,12:32:54,10.0,22726,Male,Web,Member,Fashion,Running Shoes,224.0,1.0,0.5,110.4,11.0,Critical,credit_card
2018-12-05,22:44:55,6.0,21703,Male,Web,Member,Fashion,Formal Shoes,213.0,4.0,0.5,90.4,9.0,Medium,credit_card
2018-05-28,10:40:49,4.0,27680,Male,Web,Member,Fashion,Sneakers,62.0,5.0,0.5,12.4,1.2,High,credit_card
2018-07-16,18:58:58,8.0,15685,Male,Web,Member,Fashion,Titak watch,228.0,2.0,0.5,143.4,14.3,Medium,credit_card
2018-09-13,00:27:41,2.0,38235,Female,Web,Member,Fashion,Fossil Watch,159.0,1.0,0.5,74.2,7.4,Medium,credit_card
2018-08-11,18:58:47,1.0,27610,Male,Web,Member,Fashion,T - Shirts,248.0,4.0,0.4,128.3,12.8,Medium,e_wallet
2018-12-16,22:26:33,5.0,23090,Male,Web,Member,Fashion,Shirts,196.0,1.0,0.4,112.1,11.2,High,credit_card
2018-11-05,00:48:16,5.0,52510,Male,Web,Member,Fashion,Jeans,218.0,2.0,0.4,129.3,12.9,Critical,credit_card
2018-04-08,18:01:32,5.0,21431,Female,Web,Member,Fashion,Suits,109.0,4.0,0.3,15.9,1.6,Critical,money_order
2018-09-06,12:48:10,10.0,18204,Male,Web,Member,Fashion,Sports Wear,85.0,5.0,0.5,0.8,0.1,Critical,credit_card
2018-01-13,12:24:20,10.0,14349,Male,Web,Member,Fashion,Casula Shoes,122.0,1.0,0.3,31.0,3.1,Critical,money_order
2018-03-11,10:53:42,2.0,29341,Male,Web,Member,Fashion,Running Shoes,224.0,1.0,0.4,135.0,13.5,Critical,credit_card
2018-04-06,21:45:52,3.0,11050,Male,Web,Member,Fashion,Formal Shoes,213.0,2.0,0.3,120.2,12.0,High,credit_card
2018-12-08,15:37:37,8.0,27189,Male,Web,Member,Fashion,Sneakers,62.0,1.0,0.3,62.0,6.2,Critical,credit_card
2018-08-06,17:20:56,10.0,49912,Male,Web,Member,Fashion,Titak watch,228.0,2.0,0.5,143.4,14.3,Critical,credit_card
2018-11-26,13:25:25,8.0,55011,Female,Web,Member,Fashion,Fossil Watch,159.0,2.0,0.5,75.8,7.6,Critical,e_wallet
2018-11-13,14:44:16,6.0,28317,Female,Web,Member,Fashion,T - Shirts,248.0,5.0,0.5,155.6,15.6,Medium,e_wallet
2018-11-08,22:32:21,10.0,10448,Male,Web,Member,Fashion,Shirts,196.0,1.0,0.5,106.2,10.6,Medium,credit_card
2018-09-23,20:26:50,5.0,56783,Female,Web,Member,Fashion,Jeans,218.0,1.0,0.4,124.9,12.5,Critical,money_order
2018-04-12,13:41:44,9.0,13855,Male,Web,Member,Fashion,Suits,109.0,5.0,0.5,23.6,2.4,Critical,credit_card
2018-08-10,21:56:16,1.0,11467,Male,Web,Member,Fashion,Sports Wear,85.0,1.0,0.5,2.5,0.2,High,credit_card
2018-09-16,14:01:44,5.0,59622,Male,Web,Member,Fashion,Casula Shoes,122.0,5.0,0.5,35.9,3.6,High,money_order
2018-11-17,15:44:39,9.0,12515,Male,Web,Member,Fashion,Running Shoes,224.0,2.0,0.5,139.5,14.0,Critical,money_order
2018-09-26,15:44:14,1.0,14283,Male,Web,Member,Fashion,Formal Shoes,213.0,2.0,0.5,128.7,12.9,High,credit_card
2018-10-09,09:14:38,7.0,40112,Male,Web,Member,Fashion,Sneakers,62.0,4.0,0.5,15.5,1.6,Medium,credit_card
2018-11-24,11:17:45,1.0,51559,Female,Web,Member,Fashion,Titak watch,228.0,1.0,0.5,136.6,13.7,High,credit_card
2018-09-30,21:09:25,8.0,28116,Male,Web,Member,Fashion,Fossil Watch,159.0,5.0,0.4,63.1,6.3,Critical,credit_card
2018-08-28,14:45:36,10.0,52449,Male,Web,Member,Fashion,T - Shirts,248.0,1.0,0.5,160.6,16.1,High,credit_card
2018-01-07,20:58:11,2.0,55756,Male,Web,Member,Fashion,Shirts,196.0,1.0,0.4,112.1,11.2,High,credit_card
2018-06-06,12:37:10,3.0,53277,Female,Web,Member,Fashion,Jeans,218.0,2.0,0.4,120.6,12.1,High,credit_card
2018-09-13,17:11:33,9.0,22377,Male,Web,Member,Fashion,Suits,109.0,2.0,0.5,26.8,2.7,High,credit_card
2018-11-06,11:28:05,3.0,43050,Male,Web,Member,Fashion,Sports Wear,85.0,2.0,0.3,42.5,4.3,High,money_order
2018-05-21,14:51:10,1.0,17314,Male,Web,Member,Fashion,Casula Shoes,122.0,2.0,0.5,29.8,3.0,Critical,credit_card
2018-05-16,23:04:37,4.0,38074,Female,Web,Member,Fashion,Running Shoes,224.0,1.0,0.5,110.4,11.0,High,credit_card
2018-09-03,13:25:29,9.0,51744,Male,Web,Member,Fashion,Formal Shoes,213.0,1.0,0.4,128.7,12.9,Critical,credit_card
2018-12-24,21:46:40,1.0,18128,Female,Web,Member,Fashion,Sneakers,62.0,4.0,0.4,15.5,1.6,Medium,credit_card
2018-12-15,23:15:28,5.0,18095,Female,Web,Member,Fashion,Titak watch,228.0,5.0,0.4,102.4,10.2,High,credit_card
2018-05-14,20:42:43,10.0,29453,Male,Web,Guest,Fashion,Fossil Watch,159.0,5.0,0.5,71.1,7.1,Medium,credit_card
2018-10-07,17:21:27,9.0,28386,Female,Web,Member,Fashion,T - Shirts,248.0,5.0,0.4,143.2,14.3,High,money_order
2018-12-13,12:54:08,8.0,15115,Female,Web,Member,Fashion,Shirts,196.0,5.0,0.5,67.0,6.7,High,credit_card
2018-11-17,22:17:09,8.0,30068,Male,Web,Member,Fashion,Jeans,218.0,2.0,0.5,116.2,11.6,Critical,e_wallet
2018-08-17,15:08:02,9.0,33432,Male,Web,Member,Fashion,Suits,109.0,5.0,0.3,12.7,1.3,Critical,credit_card
2018-10-16,14:45:19,9.0,20984,Male,Web,Member,Fashion,Sports Wear,85.0,5.0,0.5,17.0,1.7,Critical,credit_card
2018-08-10,12:17:16,7.0,31210,Male,Web,Member,Fashion,Casula Shoes,122.0,5.0,0.5,35.9,3.6,Critical,money_order
2018-12-13,13:42:49,10.0,36770,Male,Web,Member,Fashion,Running Shoes,224.0,4.0,0.4,108.2,10.8,High,e_wallet
2018-08-14,15:35:45,5.0,53715,Male,Web,Member,Fashion,Formal Shoes,213.0,5.0,0.4,90.4,9.0,High,credit_card
2018-04-24,13:30:59,5.0,17822,Male,Web,Member,Fashion,Sneakers,62.0,1.0,0.3,20.7,2.1,Medium,credit_card
